Designator,Footprint,Layer,Center-X(mm),Center-Y(mm),Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm),Rotation
C16_PostIsolation3_Isolation3,C0603,TopLayer,238.4298mm,139.0145mm,238.4298mm,139.0145mm,238.4298mm,139.7145mm,270
C16_PostIsolation4_Isolation4,C0603,TopLayer,216.5856mm,139.0254mm,216.5856mm,139.0254mm,216.5856mm,139.7254mm,270
C16_PostIsolation5_Isolation5,C0603,TopLayer,194.7401mm,139.0141mm,194.7401mm,139.0141mm,194.7401mm,139.7140mm,270
C16_PostIsolation6_Isolation6,C0603,TopLayer,172.8946mm,139.0141mm,172.8946mm,139.0141mm,172.8946mm,139.7140mm,270
C16_PostIsolation7_Isolation7,C0603,TopLayer,151.0490mm,139.0141mm,151.0490mm,139.0141mm,151.0490mm,139.7140mm,270
C16_PostIsolation8_Isolation8,C0603,TopLayer,129.2035mm,139.0141mm,129.2035mm,139.0141mm,129.2035mm,139.7140mm,270
C16_PostIsolation9_Isolation9,C0603,TopLayer,107.3579mm,139.0140mm,107.3579mm,139.0140mm,107.3579mm,139.7140mm,270
C17_PostIsolation1_Isolation1,C0603,TopLayer,274.5025mm,139.0141mm,274.5025mm,139.0141mm,274.5025mm,139.7140mm,270
C17_PostIsolation10_Isolation10,C0603,TopLayer,77.8924mm,139.0140mm,77.8924mm,139.0140mm,77.8924mm,139.7140mm,270
C17_PostIsolation11_Isolation11,C0603,TopLayer,56.0468mm,139.0141mm,56.0468mm,139.0141mm,56.0468mm,139.7141mm,270
C17_PostIsolation12_Isolation12,C0603,TopLayer,34.2013mm,139.0141mm,34.2013mm,139.0141mm,34.2013mm,139.7141mm,270
C17_PostIsolation2_Isolation2,C0603,TopLayer,252.6553mm,139.0145mm,252.6553mm,139.0145mm,252.6553mm,139.7145mm,270
C17_PostIsolation3_Isolation3,C0603,TopLayer,230.8098mm,139.0145mm,230.8098mm,139.0145mm,230.8098mm,139.7145mm,270
C17_PostIsolation4_Isolation4,C0603,TopLayer,208.9656mm,139.0254mm,208.9656mm,139.0254mm,208.9656mm,139.7254mm,270
C17_PostIsolation5_Isolation5,C0603,TopLayer,187.1201mm,139.0141mm,187.1201mm,139.0141mm,187.1201mm,139.7140mm,270
C17_PostIsolation6_Isolation6,C0603,TopLayer,165.2746mm,139.0141mm,165.2746mm,139.0141mm,165.2746mm,139.7140mm,270
C17_PostIsolation7_Isolation7,C0603,TopLayer,143.4290mm,139.0141mm,143.4290mm,139.0141mm,143.4290mm,139.7140mm,270
C17_PostIsolation8_Isolation8,C0603,TopLayer,121.5835mm,139.0141mm,121.5835mm,139.0141mm,121.5835mm,139.7140mm,270
C17_PostIsolation9_Isolation9,C0603,TopLayer,99.7379mm,139.0140mm,99.7379mm,139.0140mm,99.7379mm,139.7140mm,270
C18_PostIsolation1_Isolation1,C0603,TopLayer,277.0425mm,139.0141mm,277.0425mm,139.0141mm,277.0425mm,139.7140mm,270
C18_PostIsolation10_Isolation10,C0603,TopLayer,80.4324mm,139.0140mm,80.4324mm,139.0140mm,80.4324mm,139.7140mm,270
C18_PostIsolation11_Isolation11,C0603,TopLayer,58.5868mm,139.0141mm,58.5868mm,139.0141mm,58.5868mm,139.7141mm,270
C18_PostIsolation12_Isolation12,C0603,TopLayer,36.7413mm,139.0141mm,36.7413mm,139.0141mm,36.7413mm,139.7141mm,270
C18_PostIsolation2_Isolation2,C0603,TopLayer,255.1953mm,139.0145mm,255.1953mm,139.0145mm,255.1953mm,139.7145mm,270
C18_PostIsolation3_Isolation3,C0603,TopLayer,233.3498mm,139.0145mm,233.3498mm,139.0145mm,233.3498mm,139.7145mm,270
C18_PostIsolation4_Isolation4,C0603,TopLayer,211.5056mm,139.0254mm,211.5056mm,139.0254mm,211.5056mm,139.7254mm,270
C18_PostIsolation5_Isolation5,C0603,TopLayer,189.6601mm,139.0141mm,189.6601mm,139.0141mm,189.6601mm,139.7140mm,270
C18_PostIsolation6_Isolation6,C0603,TopLayer,167.8146mm,139.0141mm,167.8146mm,139.0141mm,167.8146mm,139.7140mm,270
C18_PostIsolation7_Isolation7,C0603,TopLayer,145.9690mm,139.0141mm,145.9690mm,139.0141mm,145.9690mm,139.7140mm,270
C18_PostIsolation8_Isolation8,C0603,TopLayer,124.1235mm,139.0141mm,124.1235mm,139.0141mm,124.1235mm,139.7140mm,270
C18_PostIsolation9_Isolation9,C0603,TopLayer,102.2779mm,139.0140mm,102.2779mm,139.0140mm,102.2779mm,139.7140mm,270
C19_PostIsolation1_Isolation1,C0603,BottomLayer,286.5336mm,139.0141mm,286.5336mm,139.0141mm,286.5336mm,139.7140mm,270
C19_PostIsolation10_Isolation10,C0603,BottomLayer,89.9235mm,139.0140mm,89.9235mm,139.0140mm,89.9235mm,139.7140mm,270
C19_PostIsolation11_Isolation11,C0603,BottomLayer,68.0780mm,139.0141mm,68.0780mm,139.0141mm,68.0780mm,139.7141mm,270
C19_PostIsolation12_Isolation12,C0603,BottomLayer,46.2324mm,139.0141mm,46.2324mm,139.0141mm,46.2324mm,139.7141mm,270
C19_PostIsolation2_Isolation2,C0603,BottomLayer,264.6864mm,139.0145mm,264.6864mm,139.0145mm,264.6864mm,139.7145mm,270
C19_PostIsolation3_Isolation3,C0603,BottomLayer,242.8409mm,139.0145mm,242.8409mm,139.0145mm,242.8409mm,139.7145mm,270
C19_PostIsolation4_Isolation4,C0603,BottomLayer,220.9968mm,139.0254mm,220.9968mm,139.0254mm,220.9968mm,139.7254mm,270
C19_PostIsolation5_Isolation5,C0603,BottomLayer,199.1512mm,139.0141mm,199.1512mm,139.0141mm,199.1512mm,139.7140mm,270
C19_PostIsolation6_Isolation6,C0603,BottomLayer,177.3057mm,139.0141mm,177.3057mm,139.0141mm,177.3057mm,139.7140mm,270
C19_PostIsolation7_Isolation7,C0603,BottomLayer,155.4601mm,139.0141mm,155.4601mm,139.0141mm,155.4601mm,139.7140mm,270
C19_PostIsolation8_Isolation8,C0603,BottomLayer,133.6146mm,139.0141mm,133.6146mm,139.0141mm,133.6146mm,139.7140mm,270
C19_PostIsolation9_Isolation9,C0603,BottomLayer,111.7690mm,139.0140mm,111.7690mm,139.0140mm,111.7690mm,139.7140mm,270
C2,C0402,BottomLayer,231.4438mm,82.9078mm,231.4438mm,82.9078mm,231.4438mm,82.5078mm,90
C20_PostIsolation1_Isolation1,C0603,BottomLayer,283.9936mm,139.0141mm,283.9936mm,139.0141mm,283.9936mm,139.7140mm,270
C20_PostIsolation10_Isolation10,C0603,BottomLayer,87.3835mm,139.0140mm,87.3835mm,139.0140mm,87.3835mm,139.7140mm,270
C20_PostIsolation11_Isolation11,C0603,BottomLayer,65.5380mm,139.0141mm,65.5380mm,139.0141mm,65.5380mm,139.7141mm,270
C20_PostIsolation12_Isolation12,C0603,BottomLayer,43.6924mm,139.0141mm,43.6924mm,139.0141mm,43.6924mm,139.7141mm,270
C20_PostIsolation2_Isolation2,C0603,BottomLayer,262.1465mm,139.0145mm,262.1465mm,139.0145mm,262.1465mm,139.7145mm,270
C20_PostIsolation3_Isolation3,C0603,BottomLayer,240.3009mm,139.0145mm,240.3009mm,139.0145mm,240.3009mm,139.7145mm,270
C20_PostIsolation4_Isolation4,C0603,BottomLayer,218.4568mm,139.0254mm,218.4568mm,139.0254mm,218.4568mm,139.7254mm,270
C20_PostIsolation5_Isolation5,C0603,BottomLayer,196.6112mm,139.0141mm,196.6112mm,139.0141mm,196.6112mm,139.7140mm,270
C20_PostIsolation6_Isolation6,C0603,BottomLayer,174.7657mm,139.0141mm,174.7657mm,139.0141mm,174.7657mm,139.7140mm,270
C20_PostIsolation7_Isolation7,C0603,BottomLayer,152.9201mm,139.0141mm,152.9201mm,139.0141mm,152.9201mm,139.7140mm,270
C20_PostIsolation8_Isolation8,C0603,BottomLayer,131.0746mm,139.0141mm,131.0746mm,139.0141mm,131.0746mm,139.7140mm,270
C20_PostIsolation9_Isolation9,C0603,BottomLayer,109.2290mm,139.0140mm,109.2290mm,139.0140mm,109.2290mm,139.7140mm,270
C21_PostIsolation1_Isolation1,C0603,BottomLayer,291.6136mm,139.0141mm,291.6136mm,139.0141mm,291.6136mm,139.7140mm,270
C21_PostIsolation10_Isolation10,C0603,BottomLayer,95.0035mm,139.0140mm,95.0035mm,139.0140mm,95.0035mm,139.7140mm,270
C21_PostIsolation11_Isolation11,C0603,BottomLayer,73.1580mm,139.0141mm,73.1580mm,139.0141mm,73.1580mm,139.7141mm,270
C21_PostIsolation12_Isolation12,C0603,BottomLayer,51.3124mm,139.0141mm,51.3124mm,139.0141mm,51.3124mm,139.7141mm,270
C21_PostIsolation2_Isolation2,C0603,BottomLayer,269.7665mm,139.0145mm,269.7665mm,139.0145mm,269.7665mm,139.7145mm,270
C21_PostIsolation3_Isolation3,C0603,BottomLayer,247.9209mm,139.0145mm,247.9209mm,139.0145mm,247.9209mm,139.7145mm,270
C21_PostIsolation4_Isolation4,C0603,BottomLayer,226.0768mm,139.0254mm,226.0768mm,139.0254mm,226.0768mm,139.7254mm,270
C21_PostIsolation5_Isolation5,C0603,BottomLayer,204.2312mm,139.0141mm,204.2312mm,139.0141mm,204.2312mm,139.7140mm,270
C21_PostIsolation6_Isolation6,C0603,BottomLayer,182.3857mm,139.0141mm,182.3857mm,139.0141mm,182.3857mm,139.7140mm,270
C21_PostIsolation7_Isolation7,C0603,BottomLayer,160.5401mm,139.0141mm,160.5401mm,139.0141mm,160.5401mm,139.7140mm,270
C21_PostIsolation8_Isolation8,C0603,BottomLayer,138.6946mm,139.0141mm,138.6946mm,139.0141mm,138.6946mm,139.7140mm,270
C21_PostIsolation9_Isolation9,C0603,BottomLayer,116.8490mm,139.0140mm,116.8490mm,139.0140mm,116.8490mm,139.7140mm,270
C22_PostIsolation1_Isolation1,C0603,BottomLayer,289.0736mm,139.0141mm,289.0736mm,139.0141mm,289.0736mm,139.7140mm,270
C22_PostIsolation10_Isolation10,C0603,BottomLayer,92.4635mm,139.0140mm,92.4635mm,139.0140mm,92.4635mm,139.7140mm,270
C22_PostIsolation11_Isolation11,C0603,BottomLayer,70.6179mm,139.0141mm,70.6179mm,139.0141mm,70.6179mm,139.7141mm,270
C22_PostIsolation12_Isolation12,C0603,BottomLayer,48.7724mm,139.0141mm,48.7724mm,139.0141mm,48.7724mm,139.7141mm,270
C22_PostIsolation2_Isolation2,C0603,BottomLayer,267.2265mm,139.0145mm,267.2265mm,139.0145mm,267.2265mm,139.7145mm,270
C22_PostIsolation3_Isolation3,C0603,BottomLayer,245.3809mm,139.0145mm,245.3809mm,139.0145mm,245.3809mm,139.7145mm,270
C22_PostIsolation4_Isolation4,C0603,BottomLayer,223.5368mm,139.0254mm,223.5368mm,139.0254mm,223.5368mm,139.7254mm,270
C22_PostIsolation5_Isolation5,C0603,BottomLayer,201.6912mm,139.0141mm,201.6912mm,139.0141mm,201.6912mm,139.7140mm,270
C22_PostIsolation6_Isolation6,C0603,BottomLayer,179.8457mm,139.0141mm,179.8457mm,139.0141mm,179.8457mm,139.7140mm,270
C22_PostIsolation7_Isolation7,C0603,BottomLayer,158.0001mm,139.0141mm,158.0001mm,139.0141mm,158.0001mm,139.7140mm,270
C22_PostIsolation8_Isolation8,C0603,BottomLayer,136.1546mm,139.0141mm,136.1546mm,139.0141mm,136.1546mm,139.7140mm,270
C22_PostIsolation9_Isolation9,C0603,BottomLayer,114.3090mm,139.0140mm,114.3090mm,139.0140mm,114.3090mm,139.7140mm,270
C23_PostIsolation1_Interface1,C0805,BottomLayer,286.6050mm,214.8640mm,286.6050mm,214.8641mm,286.6050mm,214.0640mm,90
C23_PostIsolation10_Interface10,C0805,BottomLayer,89.8904mm,214.8657mm,89.8904mm,214.8657mm,89.8904mm,214.0657mm,90
C23_PostIsolation11_Interface11,C0805,BottomLayer,68.0448mm,214.8674mm,68.0448mm,214.8674mm,68.0448mm,214.0674mm,90
C23_PostIsolation12_Interface12,C0805,BottomLayer,46.1993mm,214.8657mm,46.1993mm,214.8657mm,46.1993mm,214.0657mm,90
C23_PostIsolation2_Interface2,C0805,BottomLayer,264.6547mm,214.8657mm,264.6547mm,214.8657mm,264.6547mm,214.0657mm,90
C23_PostIsolation3_Interface3,C0805,BottomLayer,242.8092mm,214.8657mm,242.8092mm,214.8657mm,242.8092mm,214.0657mm,90
C23_PostIsolation4_Interface4,C0805,BottomLayer,220.9636mm,214.8657mm,220.9636mm,214.8657mm,220.9636mm,214.0657mm,90
C23_PostIsolation5_Interface5,C0805,BottomLayer,199.1181mm,214.8674mm,199.1181mm,214.8674mm,199.1181mm,214.0674mm,90
C23_PostIsolation6_Interface6,C0805,BottomLayer,177.2726mm,214.8657mm,177.2726mm,214.8657mm,177.2726mm,214.0657mm,90
C23_PostIsolation7_Interface7,C0805,BottomLayer,155.4270mm,214.8674mm,155.4270mm,214.8674mm,155.4270mm,214.0674mm,90
C23_PostIsolation8_Interface8,C0805,BottomLayer,133.5815mm,214.8657mm,133.5815mm,214.8657mm,133.5815mm,214.0657mm,90
C23_PostIsolation9_Interface9,C0805,BottomLayer,111.7359mm,214.8674mm,111.7359mm,214.8674mm,111.7359mm,214.0674mm,90
C24_PostIsolation1_Interface1,C0805,BottomLayer,286.6050mm,207.2440mm,286.6050mm,207.2441mm,286.6050mm,206.4440mm,90
C24_PostIsolation10_Interface10,C0805,BottomLayer,89.8904mm,207.2457mm,89.8904mm,207.2457mm,89.8904mm,206.4457mm,90
C24_PostIsolation11_Interface11,C0805,BottomLayer,68.0448mm,207.2457mm,68.0448mm,207.2457mm,68.0448mm,206.4457mm,90
C24_PostIsolation12_Interface12,C0805,BottomLayer,46.1993mm,207.2457mm,46.1993mm,207.2457mm,46.1993mm,206.4457mm,90
C24_PostIsolation2_Interface2,C0805,BottomLayer,264.6547mm,207.2457mm,264.6547mm,207.2457mm,264.6547mm,206.4457mm,90
C24_PostIsolation3_Interface3,C0805,BottomLayer,242.8092mm,207.2440mm,242.8092mm,207.2441mm,242.8092mm,206.4440mm,90
C24_PostIsolation4_Interface4,C0805,BottomLayer,220.9636mm,207.2457mm,220.9636mm,207.2457mm,220.9636mm,206.4457mm,90
C24_PostIsolation5_Interface5,C0805,BottomLayer,199.1181mm,207.2457mm,199.1181mm,207.2457mm,199.1181mm,206.4457mm,90
C24_PostIsolation6_Interface6,C0805,BottomLayer,177.2726mm,207.2457mm,177.2726mm,207.2457mm,177.2726mm,206.4457mm,90
C24_PostIsolation7_Interface7,C0805,BottomLayer,155.4270mm,207.2457mm,155.4270mm,207.2457mm,155.4270mm,206.4457mm,90
C24_PostIsolation8_Interface8,C0805,BottomLayer,133.5815mm,207.2457mm,133.5815mm,207.2457mm,133.5815mm,206.4457mm,90
C24_PostIsolation9_Interface9,C0805,BottomLayer,111.7359mm,207.2457mm,111.7359mm,207.2457mm,111.7359mm,206.4457mm,90
C25_PostIsolation1_Interface1,C0805,BottomLayer,286.6050mm,199.6240mm,286.6050mm,199.6241mm,286.6050mm,198.8240mm,90
C25_PostIsolation10_Interface10,C0805,BottomLayer,89.8904mm,199.6257mm,89.8904mm,199.6257mm,89.8904mm,198.8257mm,90
C25_PostIsolation11_Interface11,C0805,BottomLayer,68.0448mm,199.6257mm,68.0448mm,199.6257mm,68.0448mm,198.8257mm,90
C25_PostIsolation12_Interface12,C0805,BottomLayer,46.1993mm,199.6257mm,46.1993mm,199.6257mm,46.1993mm,198.8257mm,90
C25_PostIsolation2_Interface2,C0805,BottomLayer,264.6547mm,199.6257mm,264.6547mm,199.6257mm,264.6547mm,198.8257mm,90
C25_PostIsolation3_Interface3,C0805,BottomLayer,242.8092mm,199.6240mm,242.8092mm,199.6241mm,242.8092mm,198.8240mm,90
C25_PostIsolation4_Interface4,C0805,BottomLayer,220.9636mm,199.6257mm,220.9636mm,199.6257mm,220.9636mm,198.8257mm,90
C25_PostIsolation5_Interface5,C0805,BottomLayer,199.1181mm,199.6257mm,199.1181mm,199.6257mm,199.1181mm,198.8257mm,90
C25_PostIsolation6_Interface6,C0805,BottomLayer,177.2726mm,199.6257mm,177.2726mm,199.6257mm,177.2726mm,198.8257mm,90
C25_PostIsolation7_Interface7,C0805,BottomLayer,155.4270mm,199.6257mm,155.4270mm,199.6257mm,155.4270mm,198.8257mm,90
C25_PostIsolation8_Interface8,C0805,BottomLayer,133.5815mm,199.6257mm,133.5815mm,199.6257mm,133.5815mm,198.8257mm,90
C25_PostIsolation9_Interface9,C0805,BottomLayer,111.7359mm,199.6257mm,111.7359mm,199.6257mm,111.7359mm,198.8257mm,90
C26_PostIsolation1_Interface1,C0805,BottomLayer,286.6050mm,192.0040mm,286.6050mm,192.0041mm,286.6050mm,191.2040mm,90
C26_PostIsolation10_Interface10,C0805,BottomLayer,89.8904mm,192.0057mm,89.8904mm,192.0057mm,89.8904mm,191.2057mm,90
C26_PostIsolation11_Interface11,C0805,BottomLayer,68.0448mm,192.0057mm,68.0448mm,192.0057mm,68.0448mm,191.2057mm,90
C26_PostIsolation12_Interface12,C0805,BottomLayer,46.1993mm,192.0057mm,46.1993mm,192.0057mm,46.1993mm,191.2057mm,90
C26_PostIsolation2_Interface2,C0805,BottomLayer,264.6547mm,192.0057mm,264.6547mm,192.0057mm,264.6547mm,191.2057mm,90
C26_PostIsolation3_Interface3,C0805,BottomLayer,242.8092mm,192.0040mm,242.8092mm,192.0041mm,242.8092mm,191.2040mm,90
C26_PostIsolation4_Interface4,C0805,BottomLayer,220.9636mm,192.0057mm,220.9636mm,192.0057mm,220.9636mm,191.2057mm,90
C26_PostIsolation5_Interface5,C0805,BottomLayer,199.1181mm,192.0057mm,199.1181mm,192.0057mm,199.1181mm,191.2057mm,90
C26_PostIsolation6_Interface6,C0805,BottomLayer,177.2726mm,192.0057mm,177.2726mm,192.0057mm,177.2726mm,191.2057mm,90
C26_PostIsolation7_Interface7,C0805,BottomLayer,155.4270mm,192.0057mm,155.4270mm,192.0057mm,155.4270mm,191.2057mm,90
C26_PostIsolation8_Interface8,C0805,BottomLayer,133.5815mm,192.0057mm,133.5815mm,192.0057mm,133.5815mm,191.2057mm,90
C26_PostIsolation9_Interface9,C0805,BottomLayer,111.7359mm,192.0057mm,111.7359mm,192.0057mm,111.7359mm,191.2057mm,90
C27_PostIsolation1_Drive1,C0603,TopLayer,291.9409mm,161.5907mm,291.9409mm,161.5907mm,291.9409mm,160.8907mm,90
C27_PostIsolation1_Drive2,C0603,TopLayer,286.4797mm,161.5874mm,286.4797mm,161.5874mm,286.4797mm,160.8874mm,90
C27_PostIsolation1_Drive3,C0603,TopLayer,281.0150mm,161.5874mm,281.0150mm,161.5874mm,281.0150mm,160.8874mm,90
C27_PostIsolation1_Drive4,C0603,TopLayer,275.5596mm,161.5874mm,275.5596mm,161.5874mm,275.5596mm,160.8874mm,90
C27_PostIsolation10_Drive1,C0603,TopLayer,95.3311mm,161.5874mm,95.3311mm,161.5874mm,95.3311mm,160.8874mm,90
C27_PostIsolation10_Drive2,C0603,TopLayer,89.8698mm,161.5874mm,89.8698mm,161.5874mm,89.8698mm,160.8874mm,90
C27_PostIsolation10_Drive3,C0603,TopLayer,84.4084mm,161.5874mm,84.4084mm,161.5874mm,84.4084mm,160.8874mm,90
C27_PostIsolation10_Drive4,C0603,TopLayer,78.9470mm,161.5874mm,78.9470mm,161.5874mm,78.9470mm,160.8874mm,90
C27_PostIsolation11_Drive1,C0603,TopLayer,73.4856mm,161.5874mm,73.4856mm,161.5874mm,73.4856mm,160.8874mm,90
C27_PostIsolation11_Drive2,C0603,TopLayer,68.0242mm,161.5874mm,68.0242mm,161.5874mm,68.0242mm,160.8874mm,90
C27_PostIsolation11_Drive3,C0603,TopLayer,62.5628mm,161.5874mm,62.5628mm,161.5874mm,62.5628mm,160.8874mm,90
C27_PostIsolation11_Drive4,C0603,TopLayer,57.1014mm,161.5874mm,57.1014mm,161.5874mm,57.1014mm,160.8874mm,90
C27_PostIsolation12_Drive1,C0603,TopLayer,51.6401mm,161.5874mm,51.6401mm,161.5874mm,51.6401mm,160.8874mm,90
C27_PostIsolation12_Drive2,C0603,TopLayer,46.1787mm,161.5874mm,46.1787mm,161.5874mm,46.1787mm,160.8874mm,90
C27_PostIsolation12_Drive3,C0603,TopLayer,40.7173mm,161.5874mm,40.7173mm,161.5874mm,40.7173mm,160.8874mm,90
C27_PostIsolation12_Drive4,C0603,TopLayer,35.2559mm,161.5874mm,35.2559mm,161.5874mm,35.2559mm,160.8874mm,90
C27_PostIsolation2_Drive1,C0603,TopLayer,270.0955mm,161.5874mm,270.0955mm,161.5874mm,270.0955mm,160.8874mm,90
C27_PostIsolation2_Drive2,C0603,TopLayer,264.6341mm,161.5874mm,264.6341mm,161.5874mm,264.6341mm,160.8874mm,90
C27_PostIsolation2_Drive3,C0603,TopLayer,259.1727mm,161.5874mm,259.1727mm,161.5874mm,259.1727mm,160.8874mm,90
C27_PostIsolation2_Drive4,C0603,TopLayer,253.7113mm,161.5874mm,253.7113mm,161.5874mm,253.7113mm,160.8874mm,90
C27_PostIsolation3_Drive1,C0603,TopLayer,248.2500mm,161.5874mm,248.2500mm,161.5874mm,248.2500mm,160.8874mm,90
C27_PostIsolation3_Drive2,C0603,TopLayer,242.7886mm,161.5874mm,242.7886mm,161.5874mm,242.7886mm,160.8874mm,90
C27_PostIsolation3_Drive3,C0603,TopLayer,237.3272mm,161.5874mm,237.3272mm,161.5874mm,237.3272mm,160.8874mm,90
C27_PostIsolation3_Drive4,C0603,TopLayer,231.8658mm,161.5874mm,231.8658mm,161.5874mm,231.8658mm,160.8874mm,90
C27_PostIsolation4_Drive1,C0603,TopLayer,226.4044mm,161.5840mm,226.4044mm,161.5840mm,226.4044mm,160.8840mm,90
C27_PostIsolation4_Drive2,C0603,TopLayer,220.9430mm,161.5874mm,220.9430mm,161.5874mm,220.9430mm,160.8874mm,90
C27_PostIsolation4_Drive3,C0603,TopLayer,215.4816mm,161.5874mm,215.4816mm,161.5874mm,215.4816mm,160.8874mm,90
C27_PostIsolation4_Drive4,C0603,TopLayer,210.0203mm,161.5987mm,210.0203mm,161.5987mm,210.0203mm,160.8987mm,90
C27_PostIsolation5_Drive1,C0603,TopLayer,204.5589mm,161.5874mm,204.5589mm,161.5874mm,204.5589mm,160.8874mm,90
C27_PostIsolation5_Drive2,C0603,TopLayer,199.0975mm,161.5874mm,199.0975mm,161.5874mm,199.0975mm,160.8874mm,90
C27_PostIsolation5_Drive3,C0603,TopLayer,193.6361mm,161.5874mm,193.6361mm,161.5874mm,193.6361mm,160.8874mm,90
C27_PostIsolation5_Drive4,C0603,TopLayer,188.1747mm,161.5874mm,188.1747mm,161.5874mm,188.1747mm,160.8874mm,90
C27_PostIsolation6_Drive1,C0603,TopLayer,182.7133mm,161.5874mm,182.7133mm,161.5874mm,182.7133mm,160.8874mm,90
C27_PostIsolation6_Drive2,C0603,TopLayer,177.2519mm,161.5874mm,177.2519mm,161.5874mm,177.2519mm,160.8874mm,90
C27_PostIsolation6_Drive3,C0603,TopLayer,171.7906mm,161.5874mm,171.7906mm,161.5874mm,171.7906mm,160.8874mm,90
C27_PostIsolation6_Drive4,C0603,TopLayer,166.3292mm,161.5874mm,166.3292mm,161.5874mm,166.3292mm,160.8874mm,90
C27_PostIsolation7_Drive1,C0603,TopLayer,160.8678mm,161.5874mm,160.8678mm,161.5874mm,160.8678mm,160.8874mm,90
C27_PostIsolation7_Drive2,C0603,TopLayer,155.4064mm,161.5874mm,155.4064mm,161.5874mm,155.4064mm,160.8874mm,90
C27_PostIsolation7_Drive3,C0603,TopLayer,149.9450mm,161.5874mm,149.9450mm,161.5874mm,149.9450mm,160.8874mm,90
C27_PostIsolation7_Drive4,C0603,TopLayer,144.4836mm,161.5874mm,144.4836mm,161.5874mm,144.4836mm,160.8874mm,90
C27_PostIsolation8_Drive1,C0603,TopLayer,139.0222mm,161.5874mm,139.0222mm,161.5874mm,139.0222mm,160.8874mm,90
C27_PostIsolation8_Drive2,C0603,TopLayer,133.5608mm,161.5874mm,133.5608mm,161.5874mm,133.5608mm,160.8874mm,90
C27_PostIsolation8_Drive3,C0603,TopLayer,128.0995mm,161.5874mm,128.0995mm,161.5874mm,128.0995mm,160.8874mm,90
C27_PostIsolation8_Drive4,C0603,TopLayer,122.6381mm,161.5874mm,122.6381mm,161.5874mm,122.6381mm,160.8874mm,90
C27_PostIsolation9_Drive1,C0603,TopLayer,117.1767mm,161.5874mm,117.1767mm,161.5874mm,117.1767mm,160.8874mm,90
